2022-09-18 23:43:29.525 | INFO     | main:create_app:26 - 日志初始化成功！
2022-09-18 23:43:29.687 | INFO     | db.init_db:drop_db:40 - 删除表成功!!!
2022-09-18 23:43:29.899 | INFO     | db.init_db:init_db:28 - 创建表成功!!!
2022-09-18 23:43:29.946 | INFO     | db.init_db:init_data:65 - 成功初始化表数据!!!
2022-09-18 23:43:42.833 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/docs
2022-09-18 23:44:02.338 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/docs
2022-09-18 23:44:09.371 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/openapi.json
2022-09-18 23:45:42.289 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:45:42.321 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:43.890 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:PUT-url:http://127.0.0.1:8082/api/system/role/update/2
2022-09-18 23:45:43.898 | INFO     | utils.resp_code:resp_200:10 - 编辑成功
2022-09-18 23:45:44.154 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/role/index?page=1&pageSize=10
2022-09-18 23:45:44.161 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:45:44.212 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:44.221 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:46.290 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:45:46.296 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:47.528 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:PUT-url:http://127.0.0.1:8082/api/system/role/update/2
2022-09-18 23:45:47.534 | INFO     | utils.resp_code:resp_200:10 - 编辑成功
2022-09-18 23:45:47.789 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/role/index?page=1&pageSize=10
2022-09-18 23:45:47.792 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:45:47.803 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:47.814 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:45:49.156 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:45:49.162 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:16.392 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:46:16.396 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:32.158 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=queue_msg_type
2022-09-18 23:46:32.162 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:32.167 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=queue_msg_type
2022-09-18 23:46:32.174 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:32.242 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/queueMessage/receiveList?page=1&pageSize=10&read_status=all&content_type=all
2022-09-18 23:46:36.758 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/menu/index?page=1&pageSize=10
2022-09-18 23:46:36.761 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/menu/tree?onlyMenu=true
2022-09-18 23:46:36.764 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:46:36.776 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:44.011 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/getInfo
2022-09-18 23:46:44.056 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:44.801 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/role/index?page=1&pageSize=10
2022-09-18 23:46:44.802 | INFO     | register.middleware:intercept:17 - 访问记录:IP:127.0.0.1-method:GET-url:http://127.0.0.1:8082/api/system/dataDict/list?code=data_status
2022-09-18 23:46:44.818 | INFO     | utils.resp_code:resp_200:10 - OK
2022-09-18 23:46:44.836 | INFO     | utils.resp_code:resp_200:10 - OK
